generated_rd,target_fecha,target_hora,signal_key,edge_label,alert_level,best_score,best_lift,best_mi,best_chi2,rows_used,support,top3,top12,top_pairs,notified,fingerprint
2026-04-01 14:01:47,2026-04-01,3PM,2026-04-01|Anguilla|3PM,EDGE MODERADO,LOW,1.095107,2.233381,0.000868,7.218335,5321,1385,22|95|57,22|95|57|02|32|62|42|04|09|15|18|96,,1,d59efc319beca7dc08826ccbc93c106e
2026-04-01 15:19:20,2026-04-01,4PM,2026-04-01|Anguilla|4PM,EDGE REAL,MEDIUM,1.070739,2.259779,0.00058,8.211595,5322,1441,74|32|11,74|32|11|42|82|65|04|39|08|93|38|48,,0,080515c848be09dd01f416bcb0acc161
2026-04-01 16:59:59,2026-04-01,5PM,2026-04-01|Anguilla|5PM,EDGE REAL,MEDIUM,1.1307,2.339692,0.000507,7.287592,5323,1400,32|33|56,32|33|56|42|15|90|06|60|09|36|19|47,,0,77388ec5f4d6f0ac1176afde27a7e266
2026-04-01 17:53:47,2026-04-01,6PM,2026-04-01|Anguilla|6PM,EDGE MODERADO,LOW,1.300131,2.194467,0.000544,7.609206,5324,1428,74|18|68,74|18|68|38|20|71|02|30|82|27|54|67,,0,bb604fcfdd985414bdc518dd942bd9a5
2026-04-01 18:38:21,2026-04-01,7PM,2026-04-01|Anguilla|7PM,EDGE MODERADO,LOW,1.240451,2.685387,0.000964,14.614904,5325,1405,09|89|22,09|89|22|92|59|48|97|93|78|02|68|36,,0,af9a1c0c2a0468c07f18af963d0b7a0a
2026-04-01 07:53:56,2026-04-01,8AM,2026-04-01|Anguilla|8AM,EDGE REAL,MEDIUM,1.302144,2.543426,0.000875,12.96319,5314,1414,94|29|20,94|29|20|27|86|26|82|74|71|81|85|54,,0,85d8eadaea450f32ac8071cde90b95cb
2026-04-01 19:57:09,2026-04-01,8PM,2026-04-01|Anguilla|8PM,EDGE REAL,MEDIUM,1.259978,2.579113,0.00097,14.439128,5326,1443,44|98|61,44|98|61|16|74|39|23|46|87|82|10|32,,0,ce51b506d43ecf198ed380a172f5d19d
2026-04-01 20:13:40,2026-04-01,9PM,2026-04-01|Anguilla|9PM,EDGE REAL,MEDIUM,1.259785,2.578628,0.00097,14.433148,5326,1443,44|98|61,44|98|61|16|74|39|23|46|87|10|82|32,,1,89f9356a2e59c955cae6ce0bad6fe512
2026-04-02 09:48:50,2026-04-02,10AM,2026-04-02|Anguilla|10AM,EDGE REAL,MEDIUM,0.961779,2.732271,0.000755,11.573317,5331,1375,61|24|38,61|24|38|33|58|11|95|34|22|83|54|84,,1,9e16b615434ca99577f05fc9c47fb80e
2026-04-02 10:08:55,2026-04-02,11AM,2026-04-02|Anguilla|11AM,EDGE REAL,MEDIUM,0.961186,2.340572,0.000507,7.294279,5332,1344,32|46|14,32|46|14|44|18|47|94|59|36|62|39|61,,1,75f8cb012b30b600ebada9647c83df42
2026-04-02 11:15:36,2026-04-02,12PM,2026-04-02|Anguilla|12PM,EDGE REAL,MEDIUM,1.499068,2.845979,0.000977,15.203016,5333,1362,20|13|43,20|13|43|99|57|44|51|77|69|67|27|96,,1,f2ef7ec6d8ab5c02186d2b878b8d7dd0
2026-04-02 12:14:10,2026-04-02,1PM,2026-04-02|Anguilla|1PM,EDGE REAL,MEDIUM,1.429261,2.263516,0.000831,7.478102,5334,1411,19|62|74,19|62|74|20|66|43|31|27|95|60|76|32,,1,58f0bb8f7aed442af1caa87b6036fd07
2026-04-02 13:12:19,2026-04-02,2PM,2026-04-02|Anguilla|2PM,EDGE MODERADO,LOW,0.900884,1.896671,0.000739,4.050017,5335,1423,97|01|33,97|01|33|12|90|78|48|59|44|21|89|14,,1,5af08fc4f299333d34e263bb450f6ac4
2026-04-02 14:04:41,2026-04-02,3PM,2026-04-02|Anguilla|3PM,EDGE MODERADO,LOW,1.093365,2.226041,0.000561,7.892275,5336,1446,40|44|92,40|44|92|68|58|72|96|16|42|56|32|01,,1,34be360cb045cce59f7a87030072448e
2026-04-02 15:59:39,2026-04-02,4PM,2026-04-02|Anguilla|4PM,EDGE REAL,MEDIUM,1.078351,2.451548,0.000944,10.964968,5337,1397,70|02|29,70|02|29|04|97|43|17|86|84|06|98|50,,0,8d5c4dbcd5096ee0382fad2edd961d97
2026-04-02 16:48:21,2026-04-02,5PM,2026-04-02|Anguilla|5PM,EDGE REAL,MEDIUM,1.078108,2.451087,0.000945,10.960192,5337,1397,70|02|43,70|02|43|29|04|97|17|86|84|06|98|50,,1,73ba59344096ea3324ca2a501543d0c2
2026-04-02 17:23:29,2026-04-02,6PM,2026-04-02|Anguilla|6PM,EDGE REAL,MEDIUM,1.191716,2.649492,0.001094,16.453927,5339,1414,99|72|69,99|72|69|81|12|80|17|67|57|05|62|20,,0,f069f54bf50b81b806c294c288ffb27b
